"anonym_id","duration..in.seconds.","finished","recordeddate","dismiss_1","area","position","gender","age","country","country_other","category_of_work","general_feeling","general_feeling_cause","research_stage","interest","amusement","pride","joy","pleasure","contentment","love","admiration","relief","compassion","sadness","guilt","regret","shame","disappointment","fear","disgust","contempt","hate","anger","research_stage_feeling_cause"
81,698,TRUE,"3/27/2025 18:00","Yes","Social sciences","Other","Man",45,"Israel",NA,"Lab/online research",1,"I feel positively about conducting research in fields of my interest and expertise, about gaining knowledge and putting interesting questions and hypothesis into test.  I mostly feel negatively about this work having very little financial benefits and it often feels exploitative  and unrewarding ","Post-project stage (you recently finished the project)",5,5,6,5,6,6,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,6,"I was generally happy with the scientific process, which made me proud and content. I was generally displeased with the attitude I received as a researcher,  which consisted of very low pay,  high requirements, little respect for my time and effort, and expectation for me to solve various problems which are outside my field of expertise. "
82,141,TRUE,"4/2/2025 13:36","Yes","Social sciences","Assistant professor","Man",34,"Germany",NA,"Lab/online research",2,"I can explore interesting questions and talk to brillant people about stuff that i find genuinely interesting and important","Waiting for journal's response",5,4,4,4,5,6,NA,NA,1,NA,4,2,3,2,5,NA,NA,4,NA,2,"Science is hard"
83,340,TRUE,"4/2/2025 13:37","Yes","Health sciences","PhD student","Woman",29,"United States of America",NA,"Clinical research",1,"I love providing participants with no-cost access to clinical interventions that can help support their toolbox of coping skills and overall health and well-being. However, I indicated only a +1 because the PI (my advisor) on these projects is challenging to work with, a sentiment held across students and coordinators who work with her. ","Data collection",4,4,6,5,6,7,5,4,5,7,4,NA,1,NA,1,NA,NA,NA,NA,1,"Cotentment comes from a deep satisfaction of meeting study candidates to do one hour screening visits, hearing peoples' stories, and helping connect them to resources that are deemed most appropriate given their presenting concerns and goals (sometimes including the study and other times including community resources). It's a rewarding experience to help individuals navigate local opportunities and become better resourced, as our current help-seeking system is not intuitive or easy!"
84,150,TRUE,"4/2/2025 13:41","Yes","Social sciences","Full professor","Man",40,"Norway",NA,"Lab/online research",2,"Freedom with time and research focus","Waiting for journal's response",5,NA,4,3,4,3,NA,5,7,NA,3,NA,NA,NA,NA,3,NA,NA,2,2,""
85,248,TRUE,"4/2/2025 13:44","Yes","Health sciences","Full professor","Man",68,"Canada",NA,"Lab/online research",2,"Feelings that I am contributing to science, society and that I am productive and respected.","Report writing",6,NA,4,NA,1,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"My scientific curiosity"
86,378,TRUE,"4/2/2025 13:45","Yes","Life sciences","Full professor","Man",36,"China",NA,"Lab/online research",1,"i feel stressful in application of research project and handling of carring out","Report writing",NA,1,1,1,1,1,1,1,1,1,4,4,4,4,1,1,1,1,1,1,"alway in urgent time and ask for satisfatory results"
87,223,TRUE,"4/2/2025 13:45","Yes","Health sciences","Assistant professor","Woman",37,"Spain",NA,"Clinical research",2,"My work is engaging (i enjoy many parts of it) and it is beneficial for society (I feel useful)","Data collection",5,3,5,5,5,6,1,1,7,NA,1,1,3,NA,1,5,NA,NA,NA,NA,"Relief. There were many possible complications that coudl happen during data collection that did not."
88,390,TRUE,"4/2/2025 13:51","Yes","Health sciences","Full professor","Man",80,"Canada",NA,"Clinical research",3,"satisfaction with contributing to knowledge in my field, pride from having >600 publications","Data collection",6,3,6,3,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"My high level of interest is based in curiosity. Pleasure is based in accomplishment of a challenging task."
89,265,TRUE,"4/2/2025 13:54","Yes","Health sciences","Associate professor","Man",34,"Turkey",NA,"Lab/online research",2,"Working in a specific area.","Report writing",4,4,4,4,4,4,4,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I feel moderately good at this project, because I could not focus the research 100% percent."
90,141,TRUE,"4/2/2025 13:54","Yes","Social sciences","Assistant professor","Woman",36,"Netherlands",NA,"Lab/online research",2,"I think what I do is worthwile but it can also be quite challenging due to the sensitive nature of the topic","Reviews and revisions",6,3,5,5,5,5,2,2,2,4,4,2,2,2,3,4,5,5,5,5,"Interest, this project is topically relevant and there has been some societal interest in it in the last few weeks"
91,333,TRUE,"4/2/2025 13:56","Yes","Health sciences","Assistant professor","Woman",43,"Netherlands",NA,"Clinical research",1,"I like research a lot, but I have other tasks related to education and development of education. Therefore, I cannot expand as many time as I would like to in research.","Data analysis",7,7,7,7,7,7,7,7,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"We carried out an interesting and pioneering study and we are also innovating in the statistical analysis. I am very excited with the results we got and looking forward to work on the report."
92,213,TRUE,"4/2/2025 14:10","Yes","Health sciences","Full professor","Man",51,"India",NA,"Lab/online research",2,"I like scientific work and teaching ","Project genesis/ first thoughts/ idea creation",5,4,5,4,4,4,4,5,4,5,3,2,2,2,2,1,2,2,2,3,"trying to get a project "
93,226,TRUE,"4/2/2025 14:11","Yes","Health sciences","Assistant professor","Woman",35,"Singapore",NA,"Field research",-1,"Stress ","Data analysis",5,4,6,5,5,5,4,3,5,4,2,NA,1,NA,1,NA,NA,NA,NA,NA,"Stress "
94,207,TRUE,"4/2/2025 14:12","Yes","Social sciences","Full professor","Woman",45,"Netherlands",NA,"Lab/online research",1,"autonomy, working in diverse teams, ","Report writing",6,3,1,4,4,4,1,1,2,1,4,7,6,2,4,4,1,1,1,4,"lack of progress, disappointment in contribution of colleagues, in oneself for not monitoring well"
95,452,TRUE,"4/2/2025 14:19","Yes","Life sciences","Other","Woman",38,"Austria",NA,"Field research",1,"Interesting and fun, but lot of stress","Data collection",6,5,5,4,4,5,2,3,1,1,NA,NA,NA,1,1,NA,NA,NA,NA,1,""
96,301,TRUE,"4/2/2025 14:19","Yes","Social sciences","PhD student","Man",32,"Germany",NA,"Lab/online research",2,"freedom and autonomy in my daily work","Data analysis",6,3,5,5,5,5,2,1,5,5,3,1,2,1,2,4,1,1,1,2,"interest: i'm really curious about what data analysis will result in (there will be findings from the data itself and from the literature I read to further gain an overall understanding of the field and my data)"
97,283,TRUE,"4/2/2025 14:21","Yes","Life sciences","Full professor","Man",60,"United States of America",NA,"Lab/online research",3,"enjoy the profession to be a scientist","Data analysis",7,4,6,5,5,4,5,6,5,6,2,NA,NA,NA,2,NA,NA,NA,NA,1,""
98,348,TRUE,"4/2/2025 14:34","Yes","Social sciences","Full professor","Man",52,"Croatia",NA,"Lab/online research",1,"I like doing my research","Report writing",6,6,6,6,6,7,7,7,7,1,1,1,2,2,2,4,1,1,1,1,"I experience joy of finishing my paper of which I am very proud"
99,257,TRUE,"4/2/2025 14:52","Yes","Social sciences","Associate professor","Woman",46,"Canada",NA,"Lab/online research",2,"The autonomy to answer questions I care about","Project genesis/ first thoughts/ idea creation",6,5,1,1,5,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"It's fun to design a project with collaborators, and at the beginning stages, none of your brilliant ideas have been proven wrong yet!"
100,518,TRUE,"4/2/2025 15:19","Yes","Health sciences","Full professor","Woman",78,"Canada",NA,"Clinical research",3,"Enjoying answering research questions and identifying new ones","Data analysis",7,6,7,7,7,7,7,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Generally extremely happy to complete my investigations and submit the manuscript for publication "
101,193,TRUE,"4/2/2025 15:22","Yes","Health sciences","Assistant professor","Man",44,"Belgium",NA,"Field research",3,"Interesting topic that gains a lot of attention","Report writing",7,7,7,7,7,6,5,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Again the topic gained lots of attention, resulting in a lot of participants. The results are enlightening. "
102,208,TRUE,"4/2/2025 16:55","Yes","Health sciences","Non-academic researcher","Woman",64,"Italy",NA,"Clinical research",1,"I'd love to do more research but time is not enough","Preparations (IRB permit, preregistration, experiment preparations)",6,3,6,5,5,5,1,4,2,NA,2,NA,1,NA,1,1,NA,NA,NA,NA,""
103,543,TRUE,"4/2/2025 17:38","Yes","Health sciences","Full professor","Woman",46,"Germany",NA,"",0,"There are many nice colleagues who are fair and constructive; but also ""unethical"" colleagues who envy other's success, write unfair reviews (to push own fellows and suppress others) etc.","Project genesis/ first thoughts/ idea creation",7,2,6,7,7,NA,NA,2,2,2,6,NA,NA,NA,7,2,6,7,7,7,"Colleague stealing research ideas and afterwards claiming prominent authorship positions on publications"
104,94,TRUE,"4/2/2025 19:21","Yes","Health sciences","Assistant professor","Woman",38,"United States of America",NA,"Lab/online research",-2,"lack of support by institution","Preparations (IRB permit, preregistration, experiment preparations)",4,3,2,3,3,3,3,3,3,3,4,2,2,2,2,2,2,2,2,2,""
105,413,TRUE,"4/2/2025 20:50","Yes","Social sciences","Postdoc","Woman",35,"United States of America",NA,"Lab/online research",3,"doing something meaningful, following my passion, having control over what I study","Report writing",6,4,5,4,6,6,NA,5,6,NA,NA,NA,2,3,2,3,NA,NA,NA,1,"I felt contentment because I was working on something I enjoyed and had already put a lot of work into, I was content to be writing up results."
106,368,TRUE,"4/2/2025 21:24","Yes","Health sciences","Associate professor","Man",48,"United States of America",NA,"Clinical research",2,"I enjoy the research process, and I enjoy being able to help patients through clinical research","Data collection",6,5,7,6,6,5,NA,5,5,6,2,3,3,NA,2,2,NA,NA,NA,NA,"I take great pride in having be able to develop our very large clinical trial to the point that we are now collecting data. It has taken years of work to get to this point."
107,381,TRUE,"4/2/2025 22:22","Yes","Health sciences","Full professor","Man",73,"United States of America",NA,"Lab/online research",3,"Success in the field in promoting my ideas.  Also the opportunity to change health-related procedures by doctors and the FDA","Project genesis/ first thoughts/ idea creation",4,NA,3,3,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I derived pleasure and interest because this is a new idea and we are proposing to study something that has not been well studied.  It also crosses interdisciplinary boundaries"
108,501,TRUE,"4/3/2025 13:50","Yes","Social sciences","Full professor","Man",64,"United States of America",NA,"Lab/online research",3,"Discovery, challenge, freedom to pursuit my curiosities, interactions with students","Data collection",5,4,5,5,5,5,2,NA,NA,NA,NA,NA,NA,NA,3,NA,2,NA,NA,NA,"Interest:  The main cause of my intense feeling of interest was my sense of potential to discover something previously unknown."
109,672,TRUE,"4/5/2025 14:43","Yes","Health sciences","Assistant professor","Man",32,"Spain",NA,"Field research",-2,"Overwork, lack of time for family and friends, and the pressure to build an impactful career are often associated with neglecting other important aspects of life or resorting to poor practices — or even pushing others to do the work for you.","Report writing",2,2,2,2,2,1,1,2,1,2,6,6,7,7,7,2,5,5,7,7,"Lack of guidance, inheriting poorly prepared projects from senior researchers, and receiving no support were key issues. Supervisors often had no idea how the work was progressing. There was a massive list of authors who were unfamiliar with the process, analysis, or even the topic itself, so no real solutions were provided. As a result, each paper took an average of 4–5 years to be published."
110,886,TRUE,"4/7/2025 1:55","Yes","Health sciences","Full professor","Man",65,"United States of America",NA,"Lab/online research",3,"Exploring and making sense of data; finding out about novel insights that contribute to a better understanding of our world.","Data analysis",7,NA,5,5,5,5,1,3,5,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,"Satisfaction that the data support my hypotheses and contribute to a better understanding of the topic. "
111,194,TRUE,"4/10/2025 11:37","Yes","Life sciences","Associate professor","Woman",53,"Belgium",NA,"Lab/online research",2,"I love what I do and I hope my work will benefit women","Data collection",6,6,6,6,6,6,6,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"It's an interesting project also matching my background. Plus, it's from a student from a developing country. "
112,614,TRUE,"4/14/2025 11:19","Yes","Physical sciences","Postdoc","Man",45,"Spain",NA,"Lab/online research",0,"precarious job positions","Data analysis",7,7,5,6,5,6,NA,NA,NA,NA,2,NA,NA,1,4,5,1,NA,NA,NA,"I consider the task interesting and amusing, but I cannot totally explain why. Maybe because it is a non-repetitive, challenging one, whose results may benefit many people. "
113,221,TRUE,"4/17/2025 18:18","Yes","Social sciences","Postdoc","Man",41,"Germany",NA,"Lab/online research",2,"fun work, free time, lots of traveling, I decide what I do, surrounded by intellgent people","Report writing",6,5,5,5,5,5,5,4,3,3,2,3,1,1,NA,4,NA,NA,NA,2,"it's a new theory of a phenomenon no one else has investigated yet, so it's interestign and fun to work on it. There's much pride, admiration, and love in it too"
114,145,FALSE,"4/20/2025 12:09","Yes","Life sciences","Associate professor","Man",40,"India",NA,"Lab/online research",0,"Although there is always excitement of trying new things as part of the job, the monitory returns are not sufficient.","Waiting for journal's response",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
115,169,FALSE,"4/20/2025 12:10","Yes","Health sciences","Associate professor","Man",37,"India",NA,"Clinical research",1,"Too much work","Data collection",7,4,7,4,4,5,3,3,1,2,3,4,5,3,3,NA,NA,NA,NA,NA,""
116,1142,FALSE,"4/20/2025 12:22","Yes","Health sciences","Full professor","Man",60,"Turkey",NA,"Clinical research",2,"creating benefit for the society and the humans.","Reviews and revisions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
117,519,FALSE,"4/20/2025 12:29","Yes","Social sciences","Associate professor","Woman",49,"Croatia",NA,"Field research",3,"Sense of fulfillment","Preparations (IRB permit, preregistration, experiment preparations)",7,6,6,6,7,6,6,7,5,4,2,1,1,1,1,5,NA,NA,NA,1,"Very interested in a topic of my research, but also worried."
118,147,FALSE,"4/20/2025 12:53","Yes","Social sciences","Associate professor","Woman",50,"Kenya",NA,"Field research",3,"creating impact","Waiting for journal's response",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
119,116,FALSE,"4/20/2025 13:46","Yes","Physical sciences","Associate professor","Man",41,"China",NA,"Lab/online research",2,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
120,747,FALSE,"4/20/2025 14:30","Yes","Life sciences","Assistant professor","Woman",47,"United States of America",NA,"Lab/online research",-2,"Feel like an imposter, not good at it, stressed with the demands (grant submissions, supervising personnel)","Data collection",4,5,5,5,NA,NA,NA,NA,4,NA,4,5,4,3,3,1,NA,4,NA,NA,"Pride and joy - due to my ability to perform experiments well and obtain reliable data. Guilt - due to my messed up work schedule (inability to come to work early/on time, I stay up late and prefer to work in the afternoon)."
121,254,FALSE,"4/20/2025 16:41","Yes","Life sciences","Associate professor","Man",54,"Italy",NA,"Lab/online research",-1,"","Data analysis",4,1,2,1,2,2,NA,1,3,NA,3,3,2,2,3,3,1,NA,NA,NA,""
122,16938,FALSE,"4/20/2025 17:00","Yes","Social sciences","Full professor","Man",63,"France",NA,"Lab/online research",2,"The extent of collegiality and institutional direction","Reviews and revisions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
123,58,FALSE,"4/20/2025 18:41","Yes","Life sciences","Associate professor","Woman",48,"Hungary",NA,"Lab/online research",0,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
124,51716,FALSE,"4/21/2025 2:22","Yes","Health sciences","PhD student","Man",35,"South Korea",NA,"Clinical research",-1,"The Korean people have traditionally looked down upon researchers.","Post-project stage (you recently finished the project)",1,6,7,7,6,NA,NA,1,7,NA,2,NA,NA,NA,NA,NA,6,5,1,5,"The professors are assholes who don't know shit."
125,271,FALSE,"4/21/2025 10:32","Yes","Health sciences","Associate professor","Woman",34,"India",NA,"Clinical research",2,"Self satisfaction ","Post-project stage (you recently finished the project)",3,2,6,5,5,5,3,5,6,5,2,NA,NA,NA,NA,NA,NA,5,NA,NA,"Pride as I was able to complete my project in due time without doing any undue favours "
126,79040,FALSE,"4/21/2025 18:07","Yes","Health sciences","Full professor","Woman",45,"Italy",NA,"Lab/online research",2,"I love my work","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
127,236,TRUE,"4/22/2025 17:55","Yes","Health sciences","Postdoc","Woman",33,"Italy",NA,"Clinical research",0,"lack of guidance and career progression","Post-project stage (you recently finished the project)",6,5,6,5,5,5,3,4,6,5,4,2,4,4,5,7,6,4,NA,7,""
128,121,FALSE,"4/25/2025 15:19","Yes","Health sciences","Associate professor","Man",47,"Portugal",NA,"Field research",3,"","Waiting for journal's response",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
129,270,FALSE,"4/25/2025 16:21","Yes","Social sciences","Full professor","Man",59,"United Kingdom of Great Britain and Northern Ireland",NA,"Lab/online research",3,"amazing freedom to work on problems I find interestings, with people I really like","Report writing",6,3,6,5,6,5,NA,NA,5,NA,NA,NA,NA,NA,3,1,NA,NA,NA,NA,"A very elegant new theory, which I and my colleagues think is super-cool, whether or not anyone else will."
130,69,FALSE,"4/25/2025 18:27","Yes","Social sciences","Full professor","Man",50,"United States of America",NA,"Lab/online research",2,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
131,55,FALSE,"4/25/2025 19:25","Yes","Social sciences","Associate professor","Woman",45,"United States of America",NA,"Lab/online research",0,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
133,402,FALSE,"4/26/2025 2:28","Yes","Life sciences","Assistant professor","Man",40,"China",NA,"Lab/online research",2,"knowldege and skills obtained over the years","Reviews and revisions",7,3,7,6,5,5,7,7,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I am glad that my work which was conceived by myself despite doubts, challenges will mostly likely be in the public domain and I am very optimistic that it will inspire many new studies. "
